Country,Happiness_rank,Happiness_score,GDP_per_capita,Social_support,Life_expectancy,Freedom,Generosity,Corruption,Year,id,gdp_norm,social_norm,life_norm,free_norm,gen_norm,corruption_norm,Country_bias
Senegal,128,4.219,0.4431,0.7742,0.4046,0.3106,0.191,0.1168,2016,686,-0.806,-0.252,-0.963,-0.342,0.062,-0.481,8.856
Senegal,115,4.535,0.4793,1.1797,0.4094,0.3779,0.1835,0.1155,2017,686,-0.79,0.14,-0.963,-0.2,0.021,-0.487,8.333
Guinea,102,4.9493,7.751,0.6376,54.4678,0.7068,0.0763,0.7618,2020,324,2.393,-0.384,3.932,0.497,-0.576,2.383,-8.792
Guinea,118,4.534,0.38,0.829,0.375,0.332,0.207,0.086,2019,324,-0.834,-0.199,-0.966,-0.297,0.151,-0.618,9.139
Guinea,140,3.964,0.344,0.792,0.211,0.394,0.185,0.094,2018,324,-0.849,-0.234,-0.981,-0.165,0.029,-0.583,8.602
Guinea,150,3.656,0.1742,0.4648,0.2401,0.3772,0.2866,0.1214,2015,324,-0.924,-0.551,-0.978,-0.201,0.594,-0.461,7.858
Guinea,151,3.607,0.2242,0.3109,0.1883,0.3095,0.2991,0.1192,2016,324,-0.902,-0.699,-0.983,-0.344,0.664,-0.471,8.165
Guinea,149,3.507,0.2445,0.7912,0.1941,0.3486,0.2648,0.1109,2017,324,-0.893,-0.235,-0.982,-0.262,0.473,-0.507,7.517
Niger,103,4.9096,6.8422,0.6174,53.5001,0.7598,0.0139,0.7225,2020,562,1.996,-0.403,3.844,0.609,-0.923,2.209,-7.31
Niger,114,4.628,0.138,0.774,0.366,0.318,0.188,0.102,2019,562,-0.94,-0.252,-0.967,-0.326,0.046,-0.547,9.605
Niger,134,4.166,0.131,0.867,0.221,0.39,0.175,0.099,2018,562,-0.943,-0.162,-0.98,-0.174,-0.027,-0.56,8.909
Niger,144,3.845,0.0694,0.7726,0.2971,0.4769,0.1939,0.1564,2015,562,-0.97,-0.253,-0.973,0.01,0.079,-0.305,7.865
Niger,142,3.856,0.1327,0.6053,0.2616,0.3804,0.2097,0.1718,2016,562,-0.942,-0.415,-0.976,-0.194,0.166,-0.237,8.186
Niger,135,4.028,0.1619,0.993,0.2685,0.3637,0.2287,0.1386,2017,562,-0.929,-0.04,-0.976,-0.23,0.272,-0.384,7.84
Laos,104,4.8886,8.7986,0.7375,58.7099,0.9072,0.1114,0.6347,2020,418,2.852,-0.287,4.316,0.922,-0.38,1.819,-10.515
Laos,105,4.796,0.764,1.03,0.551,0.547,0.266,0.164,2019,418,-0.666,-0.004,-0.95,0.159,0.48,-0.272,6.884
Laos,110,4.623,0.72,1.034,0.441,0.626,0.23,0.174,2018,418,-0.685,-0.0,-0.96,0.326,0.279,-0.227,6.735
Laos,99,4.876,0.5907,0.738,0.5491,0.5959,0.4219,0.2425,2015,418,-0.741,-0.287,-0.95,0.262,1.347,0.077,5.363
Laos,102,4.876,0.6804,0.5497,0.3829,0.5217,0.4308,0.2242,2016,418,-0.702,-0.469,-0.965,0.105,1.396,-0.004,5.941
Albania,105,4.8827,9.4179,0.6711,68.7081,0.782,-0.0423,0.8963,2020,8,3.123,-0.351,5.221,0.656,-1.235,2.981,-12.442
Albania,107,4.719,0.947,0.848,0.874,0.383,0.178,0.027,2019,8,-0.585,-0.18,-0.921,-0.189,-0.01,-0.88,9.327
Albania,112,4.586,0.916,0.817,0.79,0.419,0.149,0.032,2018,8,-0.599,-0.21,-0.928,-0.113,-0.171,-0.858,9.384
Albania,95,4.959,0.8787,0.8043,0.8132,0.3573,0.1427,0.0641,2015,8,-0.615,-0.222,-0.926,-0.243,-0.206,-0.715,9.837
Albania,109,4.655,0.9553,0.5016,0.7301,0.3187,0.1684,0.053,2016,8,-0.582,-0.515,-0.934,-0.325,-0.063,-0.765,9.962
Albania,109,4.644,0.9962,0.8037,0.7312,0.3815,0.2013,0.0399,2017,8,-0.564,-0.223,-0.934,-0.192,0.12,-0.823,9.004
Cambodia,106,4.8484,8.2499,0.7731,61.53,0.9597,0.0519,0.8228,2020,116,2.612,-0.253,4.571,1.033,-0.711,2.654,-11.662
Cambodia,109,4.7,0.574,1.122,0.637,0.609,0.232,0.062,2019,116,-0.749,0.085,-0.942,0.29,0.291,-0.725,7.617
Cambodia,120,4.433,0.549,1.088,0.457,0.696,0.256,0.065,2018,116,-0.76,0.052,-0.959,0.474,0.424,-0.711,6.9
Cambodia,145,3.819,0.4604,0.6274,0.6111,0.6625,0.4036,0.0725,2015,116,-0.798,-0.393,-0.945,0.403,1.245,-0.678,5.762
Cambodia,140,3.907,0.556,0.5375,0.4249,0.5885,0.4034,0.0809,2016,116,-0.757,-0.48,-0.962,0.246,1.244,-0.641,6.157
Cambodia,129,4.168,0.6018,1.0062,0.4298,0.6334,0.3859,0.0681,2017,116,-0.737,-0.027,-0.961,0.342,1.147,-0.698,5.725
Bangladesh,107,4.8328,8.2871,0.6873,64.5031,0.9006,-0.0337,0.6618,2020,50,2.628,-0.336,4.84,0.908,-1.187,1.939,-9.821
Bangladesh,125,4.456,0.562,0.928,0.723,0.527,0.166,0.143,2019,50,-0.754,-0.103,-0.935,0.116,-0.077,-0.365,7.986
Bangladesh,115,4.5,0.532,0.85,0.579,0.58,0.153,0.144,2018,50,-0.767,-0.178,-0.948,0.228,-0.149,-0.36,8.123
Bangladesh,109,4.694,0.3975,0.4311,0.6016,0.4082,0.2122,0.1257,2015,50,-0.826,-0.583,-0.946,-0.135,0.18,-0.442,9.281
